data,token,delta
2026-07-23,4875,
2026-07-23,4875,0
2026-07-24,5315,440
2026-07-24,5315,0
2026-07-24,5828,513
2026-07-24,5845,17
2026-07-25,5845,0
2026-07-25,6200,355
2026-07-25,5791,-409
2026-07-25,5791,0
2026-07-25,5973,182
2026-07-25,5996,23
2026-07-25,5996,0
2026-07-25,6033,37
2026-07-25,5954,-79
2026-07-26,6167,213
2026-07-26,6201,34
2026-07-26,6470,269
2026-07-26,6347,-123
2026-07-26,6347,0
2026-07-26,6526,179
2026-07-26,6710,184
2026-07-27,6710,0
2026-07-27,7097,387
2026-07-27,6721,-376
2026-07-27,7455,734
2026-07-27,7589,134
2026-07-27,7589,0
2026-07-27,7955,366
2026-07-27,7801,-154
2026-07-27,7608,-193
2026-07-27,7775,167
2026-07-28,8311,536
2026-07-28,7968,-343
2026-07-28,8103,135
2026-07-28,8050,-53
2026-07-28,8008,-42
2026-07-28,7973,-35
2026-07-28,7973,0
2026-07-29,8050,77
2026-07-29,7877,-173
2026-07-29,7877,0
2026-07-29,7974,97
2026-07-29,8118,144
2026-07-29,8057,-61
2026-07-29,8025,-32
2026-07-29,7973,-52
2026-07-29,7969,-4
2026-07-29,8056,87
2026-07-29,7995,-61
2026-07-29,8201,206
2026-07-29,8081,-120
2026-07-29,7971,-110
2026-07-29,7844,-127
2026-07-29,7844,0
2026-07-29,8840,996
2026-07-29,8840,0
2026-07-29,8432,-408
2026-07-29,8349,-83
2026-07-29,8495,146
2026-07-29,8413,-82
2026-07-29,8363,-50
2026-07-29,8303,-60
2026-07-29,8140,-163
2026-07-29,7850,-290
2026-07-29,7850,0
2026-07-30,7995,145
